,Sat,UAA,TWI,UAA_road,TWI_road,Slope,Flux,K_sat,MAX_WT,Median_WT,Watershed,Depth,Position,well_names,well_title,tpi_150,Hillslope,sat_30,sat_50,sat_100,Radiation,Deficit,TWI_DEF,Deficit_250,percent_well_sat,count_sat,count_total,median_wt_hieght_dbg,na.rm
1,1,88968.7,10.368,35482.24,9.4487,12.68914,NA,0.000564,0.916,0.878,CW,1,Hollow,1A,11,-19.6228,A,0.999772261,1,1,905895.5,0.4620997,0.022436717,353.453336,0.878,4391,4391,0.122,TRUE
2,1,171856.3,11.3537,69756.8,10.4521,12.72013,NA,0.00264,1.026,0.907,CW,1.1,Hollow,2A,15,-17.2034,A,1,1,1,907060.4,0.4446796,0.025532316,353.453336,0.824545455,4391,4391,0.193,TRUE
3,1,70467.02,9.8089,23332.87,8.7036,13.11726,NA,0.042263,1.193,1.071,CW,1.8,Hollow,3A,18,-18.0116,A,0,0,1,898058.5,0.4446796,0.022058354,353.453336,0.595,4391,4391,0.729,TRUE
4,1,33371.5,8.6267,3374.91,6.3353,18.93326,NA,2.43E-05,0.699,0.647,CW,0.79,Hollow,4A,21,-17.7369,A,0.986791164,1,1,843759.9,0.4393212,0.01963643,353.453336,0.818987342,4391,4391,0.143,TRUE
5,0.270325666,41897.74,8.6224,3995.606,6.2723,25.04307,3.33E-06,0.1747794,0.024,0.021,CW,1.22,Hollow,5A,24,-16.2835,A,0,0,0,759787.9,0.4393212,0.019626642,353.453336,0.017213115,1187,4391,1.199,TRUE
6,1,75448.75,10.073,5711.735,7.4921,21.65243,NA,0.00581,1.583,1.467,CW,1.6,Hollow,6A,27,-13.4303,A,0.989979504,1,1,779491.9,0.437466,0.023025789,353.453336,0.916875,4391,4391,0.133,TRUE
7,0.436802551,37182.05,8.7953,2080.541,5.9121,24.24,1.57E-08,0.00141,0.31,0.038,CW,1.3,Hollow,7A,30,-9.5207,A,0,0,0.000227739,833043.6,0.4442896,0.019796322,353.453336,0.029230769,1918,4391,1.262,TRUE
8,0.00159417,13843.09,7.7292,522.8596,4.453,23.39515,4.43E-07,0.0403182,0.178,0.016,CW,0.86,Sideslope,8A,33,-8.2748,A,0,0,0.00159417,899335.7,0.4450312,0.017367771,353.453336,0.018604651,7,4391,0.844,TRUE
9,1,104264.3,10.4638,50060.63,9.7301,12.69514,NA,6.22E-05,1.126,1.107,CW,1.15,Hollow,9A,36,-18.3979,A,1,1,1,915556.1,0.4409745,0.02372881,353.453336,0.962608696,4391,4391,0.043,TRUE
10,0.537235254,42929.07,8.4768,20138.56,7.7199,25.44188,2.33E-09,0.000202,0.102,0.066,CW,1.09,Hollow,10A,1,-18.5843,A,0,0,0.062628103,736834,0.4371284,0.019392014,353.453336,0.060550459,2359,4391,1.024,TRUE
11,0.005921202,16044.59,7.1194,7566.219,6.3677,27.17626,6.67E-09,0.000605,0.106,0.021,CW,0.64,Sideslope,11A,2,-12.2198,A,0,0,0.005921202,939449.9,0.4320355,0.016478738,353.453336,0.0328125,26,4391,0.619,TRUE
12,0.14506946,18609.06,8.774,3013.897,6.9536,11.67153,6.87E-08,0.00625,0.852,0.195,CW,0.79,Hollow,12A,3,-9.2353,A,0.000910954,0.040537463,0.14506946,947782.7,0.4460315,0.019671256,353.453336,0.246835443,637,4391,0.595,TRUE
13,0.053974038,643.6292,4.1279,658.3869,4.1506,30.34287,6.67E-09,0.000605,0.064,0.018,CW,1.16,Sideslope,13A,4,-3.3953,A,0,0,0,889077.4,0.4407912,0.009364751,353.453336,0.015517241,237,4391,1.142,TRUE
14,0.01730813,293.7889,3.5058,295.7092,3.5123,27.93532,1.33E-07,0.0121,0.015,0.012,CW,0.18,Ridge,14A,5,7.0344,A,0.01730813,0.01730813,0.01730813,896504.4,0.4347289,0.008064336,353.453336,0.066666667,76,4391,0.168,TRUE
15,0.002960601,432.0167,4.1189,432.0251,4.119,22.85036,9.33E-08,0.00847,0.037,0.013,CW,0.66,Sideslope,15A,6,0.5971,A,0,0,0.002960601,1115094,0.4542371,0.009067731,379.160005,0.01969697,13,4391,0.647,TRUE
16,0.001138693,615.3629,4.4869,641.5415,4.5286,30.09216,8.67E-08,0.00806,0.048,0.03,CW,0.78,Sideslope,16A,7,8.5758,A,0,0,0.001138693,905705.5,0.4401989,0.010192892,353.453336,0.038461538,5,4391,0.75,TRUE
17,0,190.7114,3.1753,190.7329,3.1754,25.1136,3.33E-07,0.1753842,0,0,CW,1.01,Ridge,17A,8,16.7672,A,0,0,0,1026555,0.4403684,0.007210554,353.453336,0,0,4391,NA,TRUE
18,0,171.6576,3.4209,171.6593,3.4209,18.57841,1.51E-06,0.1370819,0,0,CW,0.89,Ridge,18A,9,16.1289,A,0,0,0,1126971,0.4542878,0.007530248,379.160005,0,0,4391,NA,TRUE
19,0.596311475,11283.94,9.506,171.6593,3.4209,18.57841,1.51E-06,0.00605,1.127,0.835,CW,2,Hollow,19A,10,16.1289,A,0,0,0.090619308,1126971,0.4542878,0.020925061,370.45,0.4175,2619,4392,1.165,TRUE
20,0.193533698,11283.94,8.381,3921.903,7.3242,12.51656,NA,0.00847,1.093,0.4935,CW,1.75,Hollow,20A,13,-8.7232,A,0,0,0.048952641,944781.7,0.4391555,0.019084356,370.45,0.282,850,4392,1.2565,TRUE
21,0,927.4299,5.8308,294.8181,4.6847,7.788321,NA,0.0705569,0,0,CW,1.89,Sideslope,21A,14,-2.0184,A,0,0,0,1008164,0.4392684,0.013273889,370.45,0,0,4391,NA,TRUE
22,0,6748.381,6.5656,1830.357,6.5376,27.73618,2.23E-08,0.00202,0,0,CW,1.22,Sideslope,1B,12,-19.3735,B,0,0,0,740175.3,0.4547752,0.014437023,390.699999,0,0,4391,NA,TRUE
23,0.295604646,7732.343,6.8116,1892.779,5.4042,26.28552,2.33E-09,0.000202,0.448,0.096,CW,0.96,Sideslope,2B,16,-16.6433,B,0,0,0.295604646,761803.6,0.4448808,0.015311068,390.699999,0.1,1298,4391,0.864,TRUE
24,0.009565019,7208.974,6.8261,1645.569,5.3489,25.38222,1.10E-08,0.00101,0.092,0.0305,CW,1.12,Sideslope,3B,19,-12.0126,B,0,0,0,777037.6,0.4448808,0.015343661,390.699999,0.027232143,42,4391,1.0895,TRUE
25,0.044864496,4595.208,6.3258,1116.052,4.9106,25.79851,1.53E-07,0.0141114,0.155,0.024,CW,0.84,Sideslope,4B,22,-9.2531,B,0,0,0.044864496,779753.9,0.4448808,0.01421909,390.699999,0.028571429,197,4391,0.816,TRUE
26,0.036893646,5796.272,6.5122,1229.063,4.9613,27.36688,2.23E-08,0.00202,0.009,0.005,CW,0.95,Sideslope,5B,25,-7.4368,B,0,0,0.036893646,758347.6,0.4448808,0.014638078,390.699999,0.005263158,162,4391,0.945,TRUE
27,0.00159417,6541.334,6.7628,1090.266,4.9711,25.12626,2.67E-08,0.00242,0.155,0.06,CW,1.29,Sideslope,6B,28,-2.7813,B,0,0,0,785910.9,0.4401822,0.015363638,390.699999,0.046511628,7,4391,1.23,TRUE
28,0,5015.239,6.5283,737.7606,4.6117,23.97624,6.00E-07,0.0564455,0,0,CW,0.75,Sideslope,7B,31,-0.1967,B,0,0,0,807825.2,0.4401822,0.014830904,390.699999,0,0,4391,NA,TRUE
29,0.0567069,6609.798,6.7375,963.305,4.8116,23.98113,5.57E-08,0.00504,0.048,0.007,CW,0.71,Sideslope,8B,34,-1.6294,B,0,0,0.0567069,799101.7,0.4378812,0.015386593,390.699999,0.009859155,249,4391,0.703,TRUE
30,0.003643817,6289.115,6.7145,761.983,4.6039,23.77668,4.33E-09,0.000403,0.164,0.041,CW,0.6,Sideslope,9B,37,-0.3433,B,0,0.000683216,0.003643817,806342.3,0.4378812,0.015334068,390.699999,0.068333333,16,4391,0.559,TRUE
31,0.002505124,13993.96,8.0898,1198.467,6.263,26.92354,3.33E-08,0.00202,0.066,0.013,CW,0.99,Hollow,2C,17,-20.0634,C,0,0,0.002505124,703378.4,0.4595384,0.017604187,387.346672,0.013131313,11,4391,0.977,TRUE
32,0.000683216,9778.109,7.4146,1706.599,5.669,25.78451,2.67E-08,0.00161,0.054,0.039,CW,0.64,Sideslope,3C,20,-8.6661,C,0,0,0.000683216,739097.1,0.4538568,0.016336871,387.346672,0.0609375,3,4391,0.601,TRUE
33,0,5368.174,6.551,861.4105,4.7213,24.72906,2.67E-08,0.00161,0,0,CW,0.86,Sideslope,4C,23,-1.1391,C,0,0,0,773216.7,0.4465427,0.01467049,387.346672,0,0,4391,NA,TRUE
34,0,5404.378,6.7924,729.0671,4.7892,25.42917,1.27E-06,0.1149069,0,0,CW,0.91,Sideslope,5C,26,-0.6748,C,0,0,0,758489.5,0.4471878,0.015189144,387.346672,0,0,4391,NA,TRUE
35,0,6021.096,6.7041,831.4209,4.7242,24.67309,8.67E-08,0.00262,0,0,CW,1.2,Sideslope,6C,29,-0.7337,C,0,0,0,771564.4,0.4465427,0.015013346,387.346672,0,0,4391,NA,TRUE
36,0.012753359,5915.816,7.006,410.5773,4.3382,23.64754,3.20E-07,0.0193527,0.032,0.0155,CW,0.91,Sideslope,7C,32,0.4221,C,0,0,0.012753359,788223.7,0.444811,0.01575051,387.346672,0.017032967,56,4391,0.8945,TRUE
37,0,5573.922,6.9546,262.0551,3.8973,23.35863,5.33E-08,0.00484,0,0,CW,0.8,Sideslope,8C,35,0.3536,C,0,0,0,793649.9,0.4436826,0.015674719,387.346672,0,0,4391,NA,TRUE
38,0.04099294,3922.444,6.2981,178.3684,3.2075,23.22435,1.07E-07,0.00645,0.317,0.092,CW,0.86,Sideslope,9C,38,0.9193,C,0,0,0.04099294,801675.8,0.4436826,0.014195057,387.346672,0.106976744,180,4391,0.768,TRUE
39,1,53485.7,10.1656,53485.7,10.1656,8.721823,NA,0.00141,1.015,0.717,NFEC,1.48,Hollow,HENA1,39,-12.8934,HENA,0,0.004781421,1,996321.9,0.4079394,0.024919388,375.416666,0.484459459,4392,4392,0.763,TRUE
40,0.013892052,698.5151,4.1942,698.5151,4.1942,31.44699,2.33E-09,0.000202,0.235,0.033,NFEC,0.85,Sideslope,HENA2,40,-1.4787,HENA,0,0,0.013892052,989654.4,0.4106217,0.010214268,361.939999,0.038823529,61,4391,0.817,TRUE
41,0.670992714,13419,8.4531,13419,8.4531,9.493314,NA,0.021282,1.57,1.286,NFEC,1.6,Hollow,HENA3,41,-15.162,HENA,0.303961749,0.543032787,0.579234973,1010966,0.4058117,0.020830104,375.416666,0.80375,2947,4392,0.314,TRUE
42,0.374857663,850.1074,5.1691,850.1074,5.1691,21.63501,6.43E-08,0.00585,0.824,0.099,NFEC,1.22,Sideslope,HENA4,42,-11.9417,HENA,0,0.000455477,0.035982692,1026564,0.4186697,0.012346487,361.939999,0.081147541,1646,4391,1.121,TRUE
43,1,19919.12,8.7283,19919.12,8.7283,12.95279,NA,0.014728,0.91,0.285,NFEC,1.4,Hollow,HENA5,43,-15.9963,HENA,0,0.000227687,0.362932605,992996,0.3949979,0.02209708,361.939999,0.203571429,4392,4392,1.115,TRUE
44,0.338570128,480.5133,4.255,480.5133,4.255,21.3415,6.67E-09,0.000403,0.745,0.014,NFEC,1.55,Sideslope,HENA6,44,-0.8216,HENA,0,0,0.000910747,1159989,0.4257524,0.009994072,361.939999,0.009032258,1487,4392,1.536,TRUE
45,0.002049647,300.5941,3.702,300.5941,3.702,24.11956,2.07E-07,0.0189496,0.051,0.03,NFEC,1.22,Ridge,HENA7,45,14.7849,HENA,0,0,0,1048005,0.411804,0.008989714,361.939999,0.024590164,9,4391,1.19,TRUE
46,0.043953541,524.9561,4.1182,524.9561,4.1182,26.19374,1.33E-08,0.00121,0.82,0.171,NFEC,1.32,Sideslope,HENA8,46,9.1247,HENA,0,0,0.008198588,1043959,0.4197979,0.009809959,361.939999,0.129545455,193,4391,1.149,TRUE
47,1,32109.44,9.5564,32109.44,9.5564,7.569649,NA,0.00195,0.952,0.725,NFEC,1.48,Hollow,MENA1,55,-13.6255,MENA,0,0,0.691029144,983915.8,0.4203356,0.022735167,367.096668,0.489864865,4392,4392,0.755,TRUE
48,0,687.5406,4.326,687.5406,4.326,27.37165,5.33E-07,0.0483819,0,0,NFEC,0.63,Sideslope,MENA2,56,-7.2,MENA,0,0,0,917709.4,0.4122291,0.010494165,367.096668,0,0,4391,NA,TRUE
49,1,38710.74,10.2614,38710.74,10.2614,6.467065,NA,0.00348,1.679,1.092,NFEC,1.6,Hollow,MENA3,57,-14.2831,MENA,0.016621129,0.465163934,1,975406.8,0.4197924,0.024443987,367.096668,0.6825,4392,4392,0.508,TRUE
50,0,614.9862,4.218,614.9862,4.218,27.58786,3.40E-07,0.0193527,0,0,NFEC,1.13,Sideslope,MENA4,58,-7.0901,MENA,0,0,0,895937.9,0.4193553,0.010058297,367.096668,0,0,4392,NA,TRUE
51,1,22663.93,8.8502,22663.93,8.8502,13.29011,NA,0.10544,1.62,1.439,NFEC,1.7,Hollow,MENA5,59,-15.579,MENA,0.99931694,1,1,985557.6,0.4228301,0.020930866,367.096668,0.846470588,4392,4392,0.261,TRUE
52,0,388.7065,3.9082,388.7065,3.9082,24.61953,2.23E-08,0.00202,0,0,NFEC,1.09,Ridge,MENA6,60,-8.7551,MENA,0,0,0,977187.8,0.4239202,0.009219188,367.096668,0,0,4392,NA,TRUE
53,0,486.5057,3.5372,486.5057,3.5372,32.81638,6.90E-08,0.00625,0,0,NFEC,1.03,Ridge,MENA7,61,2.6877,MENA,0,0,0,919316.8,0.414554,0.008532543,403.966663,0,0,4392,NA,TRUE
54,0,214.6922,2.8667,214.6922,2.8667,34.29119,3.33E-06,0.3084343,0,0,NFEC,1.01,Ridge,MENA9,62,7.1921,MENA,0,0,0,979809.2,0.4253286,0.006739965,403.966663,0,0,4392,NA,TRUE
55,1,145495.4,12.6183,145495.4,12.6183,8.960176,NA,0.00615,1.116,0.788,NFEC,1.3,Hollow,LENA1,47,-16.4883,LENA,0.04143898,0.467440801,0.702413479,957621.1,0.4485585,0.028130779,380.216666,0.606153846,4392,4392,0.512,TRUE
56,1,150886.3,11.8509,150886.3,11.8509,6.813042,NA,0.00147,1.314,1.094,NFEC,1.84,Hollow,LENA3,48,-16.933,LENA,0,0,0.646857923,959376.6,0.452069,0.026214803,397.589999,0.594565217,4392,4392,0.746,TRUE
57,0.002960601,436.9643,3.8153,436.9643,3.8153,29.26316,8.89E-09,0.000806,0.003,0.003,NFEC,1.13,Sideslope,LENA4,49,0.382,LENA,0,0,0,844706.8,0.4489031,0.008499162,397.589999,0.002654867,13,4391,1.127,TRUE
58,1,60096.55,10.4567,60096.55,10.4567,11.28158,NA,0.00447,1.8,1.051,NFEC,1.92,Hollow,LENA5,50,-18.6547,LENA,0.084016393,0.172131148,0.64640255,918653.2,0.4528995,0.023088345,397.589999,0.547395833,4392,4392,0.869,TRUE
59,0.006147541,541.2904,4.0683,541.2904,4.0683,28.56317,2.22E-09,0.000202,0.024,0.02,NFEC,1.09,Sideslope,LENA6,51,-5.2102,LENA,0,0,0,879483.6,0.4510822,0.009018977,397.589999,0.018348624,27,4392,1.07,TRUE
60,0.002276867,396.078,3.8772,396.078,3.8772,26.73301,8.89E-09,0.000806,0.092,0.068,NFEC,1.03,Ridge,LENA7,52,3.264,LENA,0,0,0.002276867,824203.2,0.4444298,0.008723987,397.589999,0.066019417,10,4392,0.962,TRUE
61,0.00204918,312.931,3.4729,312.931,3.4729,30.11293,8.89E-09,0.000806,0.082,0.03,NFEC,1.1,Ridge,LENA8,53,9.6609,LENA,0,0,0,821529.2,0.4489031,0.007736413,397.589999,0.027272727,9,4392,1.07,TRUE
62,0,359.943,3.5377,359.943,3.5377,31.07343,2.44E-08,0.00222,0,0,NFEC,1.01,Ridge,LENA9,54,8.2004,LENA,0,0,0,884100.9,0.4527652,0.007813542,397.589999,0,0,4391,NA,TRUE
